Reg.code;Region;FO;SREDDENDOXOD2012;VRP2012;Y.ORTorg.2012;RKBS.2011;KMPred.2012
1000;Российская Федеpация;NA;23058;348641,5;149401;1191,6;140
1001;Центpальный ФО;ЦФО;29721;451517,2;188757;NA;146
31;Белгородская область;ЦФО;21563;354570,6;129904;7104,2;142
32;Бpянская область;ЦФО;17422;164726,6;121136;7682,5;91
33;Владимиpская область;ЦФО;16136;200456,4;103848;8238,9;125
36;Воронежская область;ЦФО;18885;241947,4;139133;11588,4;95
37;Ивановская область;ЦФО;15930;129448,3;109822;6416,3;173
40;Калужская область;ЦФО;20621;283299,9;133102;6470,6;125
44;Костpомская область;ЦФО;15808;198142,5;95792;4579,3;127
46;Курская область;ЦФО;18808;221537,3;117703;7316,1;89
48;Липецкая область;ЦФО;19777;251960,8;134049;6460,9;105
50;Московская область1);ЦФО;29699;336650,6;179869;67348,7;106
57;Оpловская область;ЦФО;16762;187659,7;105501;4339,4;100
62;Рязанская область;ЦФО;17664;221430,1;112985;6747,2;129
67;Смоленская область;ЦФО;18250;206391,7;123289;5850,8;139
68;Тамбовская область;ЦФО;17470;188418,7;122576;5903,9;80
69;Твеpская область;ЦФО;17247;200327,2;120844;9806,7;141
71;Тульская область;ЦФО;19291;202302,5;124580;8948,2;151
76;Яpославская область;ЦФО;18513;257426,7;114121;9353,3;212
77;г. Москва1);ЦФО;48622;895017,9;305395;233192,5;201
1002;Севеpо-Западный ФО;СЗФО;23403;383339,4;143732;NA;236
10;Республика Каpелия;СЗФО;20037;251981,4;122886;7109,2;146
11;Республика Коми;СЗФО;26787;541155,3;155776;8824,9;139
83;Ненецкий автономный округ;СЗФО;23636;3685897,1;135625;12945,9;103
29;Архангельская область без АО;СЗФО;61937;270662,9;145446;11147,9;123
35;Вологодская область;СЗФО;18125;296726,1;104966;5045,3;85
39;Калининградская область;СЗФО;19371;279096,9;114980;10522,7;255
47;Ленингpадская область;СЗФО;17925;385686,5;132297;9611,2;117
51;Муpманская область;СЗФО;28604;361968,4;157480;5246,8;79
53;Новгоpодская область;СЗФО;19649;271750,9;122628;5402,6;124
60;Псковская область;СЗФО;16412;161916,7;115337;46380,2;112
78;г. Санкт-Петеpбуpг;СЗФО;27795;456943,4;169270;947,2;420
1003;Южный ФО;ЮФО;18603;229214,5;138131;NA;109
1;Республика Адыгея;ЮФО;17025;147262,9;129374;2399,6;82
8;Республика Калмыкия;ЮФО;10184;125773,9;51125;1399,3;31
23;Краснодарский край;ЮФО;21077;274995,7;153806;25017,1;103
30;Астраханская область;ЮФО;17773;206677,1;131101;6084,2;89
34;Волгоградская область;ЮФО;16066;220755,1;107858;15600,3;105
61;Ростовская область;ЮФО;17987;198129,2;145419;28357,6;132
1004;Севеpо-Кавказский ФО;СКФО;17076;127042,1;114718;NA;53
5;Республика Дагестан;СКФО;20648;127528,7;135860;10630,9;26
6;Республика Ингушетия;СКФО;12375;85737,9;33021;2820,1;30
7;Кабардино-Балкарская Республика;СКФО;13681;124226,6;93771;3867,3;50
9;Карачаево-Черкесская Республика;СКФО;13354;124058,6;70974;2901,5;54
15;Республика Северная Осетия - Алания;СКФО;16185;137721,8;108101;2691,6;88
20;Чеченская Республика;СКФО;15257;77877,2;69225;11071,2;47
26;Ставропольский край;СКФО;16877;154811;142205;16416,3;79
1005;Приволжский ФО;ПФО;19597;263976,2;131367;NA;120
2;Республика Башкортостан;ПФО;21259;282918,4;156044;18870,2;96
12;Республика Маpий Эл;ПФО;12538;169514,7;81095;3504,8;110
13;Республика Моpдовия;ПФО;13063;163399;70185;5576,5;87
16;Республика Татарстан;ПФО;24010;376907,1;170670;19646,2;125
18;Удмуртская Республика;ПФО;16411;245592,6;103388;7682,8;129
21;Чувашская Республика;ПФО;13755;174925,5;87331;7307,2;112
59;Пермский край;ПФО;23270;326782,7;152587;17721,3;130
43;Киpовская область;ПФО;16530;157541,4;99190;9586;151
52;Нижегородская область;ПФО;21518;255722,7;146559;24752,9;117
56;Оренбургская область;ПФО;16539;311189,3;105992;13144,3;90
58;Пензенская область;ПФО;15765;174823,6;102798;9026,3;126
63;Самарская область;ПФО;24683;291701,5;156220;28501,3;162
64;Саратовская область;ПФО;14243;190850,1;97340;17266,3;111
73;Ульяновская область;ПФО;16351;188185,7;103846;9072,8;124
1006;Уральский ФО;УФО;26175;583243,9;169676;NA;150
45;Курганская область;УФО;16019;163909,9;98070;6818,2;82
66;Свердловская область;УФО;27709;344382,7;199179;32756,7;177
86;Ханты-Мансийский автономный округ Югра;УФО;33281;1719109,2;187416;14732,4;162
89;Ямало-Ненецкий автономный округ;УФО;36088;2209803,4;192753;20001;126
72;Тюменская область без АО;УФО;52342;532020,4;201376;22930,6;231
74;Челябинская область;УФО;19763;241758;133717;16132,9;101
1007;Сибирский ФО;СФО;18322;269171;120963;NA;144
4;Республика Алтай;СФО;14278;145400,1;75583;1676,2;119
3;Республика Бурятия;СФО;17119;169552,9;116893;7141,1;106
17;Республика Тыва;СФО;11933;120582,9;48949;2231,6;49
19;Республика Хакасия;СФО;15991;245293,7;106164;2930,7;107
22;Алтайский край;СФО;13629;153556,7;105754;14023,7;149
75;Забайкальский край;СФО;17336;204112,1;105860;8583,4;49
24;Красноярский край;СФО;22138;416272,7;149112;31543,7;180
38;Иркутская область;СФО;17720;304545,5;103165;16907,9;103
42;Кемеровская область;СФО;18386;261527,1;115686;18382,7;122
54;Новосибирская область;СФО;20637;269870,4;147816;19323,3;222
55;Омская область;СФО;19469;248940;133668;14185,9;133
70;Томская область;СФО;17876;350116,9;99139;7714,3;192
1008;Дальневосточный ФО;ДВФО;25326;431768,1;130765;NA;148
14;Республика Саха (Якутия);ДВФО;28457;566387;135106;15277,7;130
41;Камчатский край;ДВФО;31482;397725,9;125603;6208,4;160
25;Приморский край;ДВФО;21300;286057,3;110100;14887,4;157
27;Хабаровский край;ДВФО;25649;326306,5;137596;14214,9;170
28;Амурская область;ДВФО;21469;280023,9;127200;9752,8;104
49;Магаданская область;ДВФО;36576;511125,4;126320;2111,4;198
65;Сахалинская область;ДВФО;33459;1298440;209149;6525,7;164
79;Еврейская автономная область;ДВФО;18151;246301,3;98243;1568,2;92
87;Чукотский автономный округ;ДВФО;47857;896822,1;113267;1468,2;105
